user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Ipomoea murucoides	Ipomoea murucoides	Ipomoea murucoides	0.988			
Quercus acutifolia	Quercus acutifolia	Quercus acutifolia	0.988			
Quercus conzattii	Quercus conzattii	Quercus conzattii	0.988			
Acacia schaffneri	Acacia schaffneri	Acacia schaffneri	0.988			
Porana nutans	Porana nutans	Porana nutans	0.988			
Lippia alba	Lippia alba	Lippia alba	0.988			
Chromolaena odoratum	Chromolaena odoratum	Chromolaena odorata	0.75			
Cyperus flavidus	Cyperus flavidus	Cyperus flavidus	0.988			
Equisetum debile	Equisetum debile	Equisetum debile	0.988			
Eulophia sp.	Eulophia sp.	Eulophia	0.75			
Imperata cylindica	Imperata cylindica	Imperata cylindrica	0.75			
Neyraudia reynaudiana	Neyraudia reynaudiana	Neyraudia reynaudiana	0.988			
Ophioglossum sp.	Ophioglossum sp.	Ophioglossum	0.75			
Pennisetum polystachyon	Pennisetum polystachyon	Pennisetum polystachyon	0.988			
Phragmites karka	Phragmites karka	Phragmites karka	0.988			
Thysanolaena maxima	Thysanolaena maxima	Thysanolaena maxima	0.988			
Vigna umbellata	Vigna umbellata	Vigna umbellata	0.988			
Acacia concinna	Acacia concinna	Acacia concinna	0.988			
Erigeron Canadensis 	Erigeron canadensis	Erigeron canadensis	0.988			
Phytolacca acinosa 	Phytolacca acinosa	Phytolacca acinosa	0.988			
Pteridium aquilinum 	Pteridium aquilinum	Pteridium aquilinum	0.988			
Parthenocissus heterophylla 	Parthenocissus heterophylla	Parthenocissus heterophylla	0.988			
Dicranopteris dichodoma	Dicranopteris dichodoma	Dicranopteris dichotoma	0.75			
Melastoma dodecandrum 	Melastoma dodecandrum	Melastoma dodecandrum	0.988			
Curcuma aromatica	Curcuma aromatica	Curcuma aromatica	0.988			
Digitaria sanguinalis 	Digitaria sanguinalis	Digitaria sanguinalis	0.988			
Osmanthus fordii	Osmanthus fordii	Osmanthus fordii	0.988			
Paspalum orbiculare	Paspalum orbiculare	Paspalum orbiculare	0.988			
Eragrostis bulbillifera	Eragrostis bulbillifera	Eragrostis bulbillifera	0.988			
Bothriochloa intermedia	Bothriochloa intermedia	Bothriochloa intermedia	0.988			
Artemisia blepharolepis	Artemisia blepharolepis	Artemisia blepharolepis	0.988			
Mulgedium tataricum	Mulgedium tataricum	Mulgedium tataricum	0.988			
Suaeda salsa	Suaeda salsa	Suaeda salsa	0.988			
Achnatherum splendens	Achnatherum splendens	Achnatherum splendens	0.988			
Halogeton arachnoideus	Halogeton arachnoideus	Halogeton arachnoideus	0.988			
Kochia scoparia	Kochia scoparia	Kochia scoparia	0.988			
Phragmites communis	Phragmites communis	Phragmites communis	0.988			
Artemisia capillaries	Artemisia capillaries	Artemisia capillaris	0.75			
Chromolaena odorata 	Chromolaena odorata	Chromolaena odorata	0.988			
Saccharum spontaneum 	Saccharum spontaneum	Saccharum spontaneum	0.988			
Butea monosperma 	Butea monosperma	Butea monosperma	0.988			
Dysphania ambrosioides 	Dysphania ambrosioides	Dysphania ambrosioides	0.988			
Sida rhombifolia 	Sida rhombifolia	Sida rhombifolia	0.988			
Tephrosia purpurea 	Tephrosia purpurea	Tephrosia purpurea	0.988			
Achillea millefolium subsp. lanulosa	Achillea millefolium subsp. lanulosa	Achillea millefolium var. lanulosa	0.999			
Achillea millefolium subsp. lanulosa	Achillea millefolium subsp. lanulosa	Achillea millefolium subsp. lanulosa	0.999			
Achillea millefolium subsp. lanulosa	Achillea millefolium subsp. lanulosa	Achillea millefolium fo. lanulosa	0.999			
Festuca rubra subsp. rubra	Festuca rubra subsp. rubra	Festuca rubra subsp. rubra	0.999			
Festuca rubra subsp. rubra	Festuca rubra subsp. rubra	Festuca rubra ssp. rubra	0.999			
Festuca rubra subsp. rubra	Festuca rubra subsp. rubra	Festuca rubra fo. rubra	0.999			
Festuca rubra subsp. rubra	Festuca rubra subsp. rubra	Festuca rubra var. rubra	0.999			
Hypericum perforatum subsp. perforatum	Hypericum perforatum subsp. perforatum	Hypericum perforatum subsp. perforatum	0.999			
Hypericum perforatum subsp. perforatum	Hypericum perforatum subsp. perforatum	Hypericum perforatum var. perforatum	0.999			
Morella caroliniensis	Morella caroliniensis	Morella caroliniensis	0.988			
Populus balsamifera subsp. balsamifera	Populus balsamifera subsp. balsamifera	Populus balsamifera subsp. balsamifera	0.999			
Populus balsamifera subsp. balsamifera	Populus balsamifera subsp. balsamifera	Populus balsamifera ssp. balsamifera	0.999			
Populus balsamifera subsp. balsamifera	Populus balsamifera subsp. balsamifera	Populus balsamifera var. balsamifera	0.999			
Silene vulgaris subsp. vulgaris	Silene vulgaris subsp. vulgaris	Silene vulgaris subsp. vulgaris	0.999			
Silene vulgaris subsp. vulgaris	Silene vulgaris subsp. vulgaris	Silene vulgaris var. vulgaris	0.999			
Vachellia tortilis	Vachellia tortilis	Vachellia tortilis	0.988			
Azanza garkeana	Azanza garkeana	Azanza garckeana	0.75			
Colophospermum mopane	Colophospermum mopane	Colophospermum mopane	0.988			
Commiphera glandulosa	Commiphera glandulosa	Commiphora glandulosa	0.75			
Dichrostachys cinereal	Dichrostachys cinereal	Dichrostachys cinerea	0.75			
Grevia bicolor	Grevia bicolor	Grewia bicolor	0.75			
Solanum panduriforme	Solanum panduriforme	Solanum panduriforme	0.988			
Aloe marlothii 	Aloe marlothii	Aloe marlothii	0.988			
Limeum viscosum	Limeum viscosum	Limeum viscosum	0.988			
Alligator Flag	Alligator flag	Alligator	0.75			
Castor Bean Plant	Castor bean plant	Castor	0.75			
Sultana	Sultana	Sultana	0.75			
Luzula's Cyperus	Luzula's cyperus	Luzula	0.75			
Lasiandra	Lasiandra	Lasiandra	0.75			
Agrostis tenuis	Agrostis tenuis	Agrostis tenuis	0.988			
Betula celtiberica	Betula celtiberica	Betula celtiberica	0.988			
Taraxacum sp.	Taraxacum sp.	Taraxacum	0.75			
Minuartia lineata	Minuartia lineata	Minuartia lineata	0.988			
Convolvulus cantabricus	Convolvulus cantabricus	Convolvulus cantabricus	0.988			
Trifolium tumens	Trifolium tumens	Trifolium tumens	0.988			
Trifolium clusii	Trifolium clusii	Trifolium clusii	0.988			
Trifolium triocephalum	Trifolium triocephalum	Trifolium eriocephalum	0.75			
Trifolium triocephalum	Trifolium triocephalum	Trifolium trichocephalum	0.75			
Quercus castaneifolia	Quercus castaneifolia	Quercus castaneifolia	0.988			
Polygonum persicaria	Polygonum persicaria	Polygonum persicaria	0.988			
Pyrus boissieriana	Pyrus boissieriana	Pyrus boissieriana	0.988			
Potentila repens	Potentila repens	Potentilla repens	0.75			
Crataegus microphylla	Crataegus microphylla	Crataegus microphylla	0.988			
Equisetum ramosissimum 	Equisetum ramosissimum	Equisetum ramosissimum	0.988			
Athyrium filix-femina 	Athyrium filix-femina	Athyrium filix-femina	0.988			
Centaurea nigra 	Centaurea nigra	Centaurea nigra	0.988			
Digitalis thapsi 	Digitalis thapsi	Digitalis thapsi	0.988			
Aira caryophyllea 	Aira caryophyllea	Aira caryophyllea	0.988			
Glyceria fluitans 	Glyceria fluitans	Glyceria fluitans	0.988			
Diplotaxis erucoides 	Diplotaxis erucoides	Diplotaxis erucoides	0.988			
Silene latifolia 	Silene latifolia	Silene latifolia	0.988			
